timestamp,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_54,subcarrier_55,subcarrier_56,subcarrier_57,subcarrier_58,subcarrier_59,subcarrier_60,subcarrier_61,subcarrier_62,subcarrier_63
2025-05-20 13:15:06.185853,(-26-27j),(2325+1224j),(2443+1115j),(2531+990j),(2539+834j),(2481+662j),(2356+490j),(2175+347j),(1938+195j),(1676+85j),(1375+12j),(1048-33j),(709-51j),(378-30j),(60+22j),(-235+96j),(-495+194j),(-715+301j),(-896+415j),(-1034+518j),(-1139+617j),(-1221+706j),(-1238+762j),(-1239+789j),(-1204+793j),(-1167+794j),(-1098+779j),(-962+739j),(-784+674j),(12+0j),(9-10j),(4-9j),(18469+0j),(-12288-32640j),(1152+0j),(-2-6j),(698-338j),(-743+384j),(-748+377j),(-709+299j),(-663+177j),(-642+43j),(-636-91j),(-636-215j),(-645-334j),(-652-430j),(-661-500j),(-668-541j),(-661-563j),(-652-555j),(-618-517j),(-573-444j),(-510-346j),(-416-222j),(-302-80j),(-158+95j),(12+286j),(217+482j),(452+664j),(714+845j),(994+1020j),(1288+1151j),(1575+1235j),(1866+1286j)
2025-05-20 13:15:07.165004,(-14+30j),(-1425-2077j),(-2090-1516j),(-2520-744j),(-2584+138j),(-2311+957j),(-1748+1560j),(-1036+1864j),(-331+1892j),(259+1636j),(626+1202j),(735+731j),(626+340j),(380+111j),(94+83j),(-125+235j),(-186+496j),(-67+766j),(205+957j),(568+999j),(947+871j),(1257+588j),(1436+175j),(1445-267j),(1286-673j),(1000-993j),(619-1184j),(183-1222j),(-239-1080j),(4+6j),(7-2j),(4-2j),(18469+0j),(-12288-32640j),(1152+0j),(-7-2j),(435-779j),(-155+890j),(113+867j),(292+747j),(377+618j),(403+518j),(425+467j),(474+436j),(549+393j),(649+321j),(746+196j),(806+17j),(797-196j),(697-399j),(527-548j),(305-613j),(75-579j),(-110-437j),(-198-216j),(-149+32j),(44+228j),(340+300j),(706+206j),(1026-95j),(1201-579j),(1138-1165j),(781-1725j),(181-2139j)
2025-05-20 13:15:07.520408,(34+2j),(-1855+2346j),(-1571+2639j),(-1240+2860j),(-846+2925j),(-457+2899j),(-91+2742j),(247+2496j),(467+2177j),(611+1813j),(651+1414j),(585+1025j),(421+669j),(186+375j),(-112+165j),(-443+41j),(-768+14j),(-1058+75j),(-1303+203j),(-1488+382j),(-1615+596j),(-1682+839j),(-1645+1054j),(-1545+1235j),(-1401+1378j),(-1218+1471j),(-1028+1539j),(-787+1581j),(-526+1593j),(8-16j),(-5-7j),(-2-8j),(18469+0j),(-12544-32640j),(1152+0j),(4+1j),(-1220-730j),(1255+584j),(1240+463j),(1153+384j),(1045+347j),(949+366j),(869+415j),(818+463j),(796+519j),(798+560j),(817+579j),(834+566j),(842+516j),(837+445j),(800+355j),(721+238j),(615+128j),(455+27j),(254-68j),(2-133j),(-289-160j),(-589-125j),(-927-26j),(-1270+141j),(-1585+397j),(-1835+738j),(-1986+1132j),(-2065+1551j)
2025-05-20 13:15:07.862196,(16+34j),(-2825+917j),(-1062+2871j),(1620+2631j),(3020+343j),(2049-2078j),(-337-2717j),(-2143-1316j),(-2114+769j),(-639+1823j),(817+1360j),(1194+207j),(663-501j),(115-464j),(55-231j),(174-358j),(-123-685j),(-814-550j),(-1198+307j),(-628+1303j),(668+1485j),(1728+471j),(1514-1078j),(149-1901j),(-1358-1323j),(-1826+197j),(-955+1482j),(563+1570j),(1492+436j),(6+0j),(3-9j),(3-4j),(18469+0j),(-12544-32640j),(1152+0j),(3+5j),(-201+1419j),(-983-1024j),(-1365+102j),(-762+1000j),(167+1115j),(786+628j),(917-24j),(657-550j),(146-831j),(-433-751j),(-854-271j),(-828+420j),(-276+895j),(460+778j),(825+164j),(587-460j),(17-625j),(-359-299j),(-258+83j),(61+70j),(51-274j),(-441-367j),(-869+212j),(-510+1125j),(735+1421j),(1909+363j),(1689-1490j),(-151-2544j)
2025-05-20 13:15:08.215089,(23+34j),(-2955+268j),(-2996+635j),(-2943+981j),(-2772+1280j),(-2513+1517j),(-2202+1657j),(-1861+1744j),(-1500+1690j),(-1157+1575j),(-836+1381j),(-580+1104j),(-389+777j),(-290+422j),(-282+79j),(-339-257j),(-470-532j),(-646-760j),(-851-921j),(-1074-1009j),(-1290-1049j),(-1515-1011j),(-1661-920j),(-1783-788j),(-1831-609j),(-1833-439j),(-1819-266j),(-1774-102j),(-1732+59j),(4+12j),-9j,(10-7j),(18469+0j),(-12544-32640j),(1152+0j),(-1+9j),(-1034-1187j),(1065+1079j),(1070+971j),(1014+841j),(934+751j),(819+688j),(695+673j),(591+679j),(492+714j),(427+751j),(393+787j),(371+810j),(380+803j),(377+767j),(382+696j),(370+591j),(345+459j),(284+298j),(179+122j),(27-67j),(-169-258j),(-420-430j),(-704-576j),(-1052-678j),(-1441-721j),(-1832-658j),(-2200-522j),(-2528-330j)
2025-05-20 13:15:08.576049,(-34-2j),(598-2213j),(-86-2341j),(-773-2239j),(-1355-1877j),(-1761-1353j),(-1926-743j),(-1892-148j),(-1628+322j),(-1261+634j),(-848+745j),(-493+682j),(-257+489j),(-181+245j),(-259+36j),(-452-83j),(-692-57j),(-903+111j),(-1032+385j),(-1030+725j),(-886+1067j),(-613+1345j),(-240+1519j),(175+1544j),(570+1425j),(894+1192j),(1120+890j),(1242+568j),(1283+257j),(-8-5j),(2+3j),(3+0j),(18469+0j),(-12288-32640j),(1152+0j),(-6+1j),(231-1058j),(-24+1043j),(168+986j),(329+847j),(420+697j),(448+577j),(446+499j),(452+475j),(486+440j),(549+410j),(640+351j),(722+242j),(775+94j),(764-76j),(689-233j),(558-354j),(385-415j),(208-388j),(60-268j),(-12-76j),(24+145j),(197+337j),(469+443j),(825+411j),(1186+207j),(1473-181j),(1577-705j),(1484-1277j)
2025-05-20 13:15:08.940492,(-17-33j),(2305+945j),(2464+787j),(2591+626j),(2597+428j),(2594+226j),(2486+36j),(2371-115j),(2148-272j),(1899-375j),(1614-448j),(1318-456j),(989-431j),(674-359j),(371-235j),(72-84j),(-185+99j),(-408+319j),(-585+542j),(-709+773j),(-794+990j),(-854+1218j),(-847+1380j),(-814+1523j),(-742+1614j),(-659+1681j),(-583+1717j),(7-1j),(-1-6j),(5-6j),(-6-5j),(-1+5j),(18469+0j),(-12800-32640j),(1152+0j),(-3-1j),(-3+7j),-5j,(-368+926j),(-151+827j),(30+652j),(169+463j),(257+243j),(315+11j),(309-193j),(259-380j),(197-544j),(100-643j),(-5-721j),(-113-736j),(-192-699j),(-256-614j),(-291-498j),(-279-342j),(-241-173j),(-154+34j),(-14+231j),(159+428j),(367+610j),(606+781j),(897+914j),(1190+1026j),(1494+1070j),(1796+1082j)
2025-05-20 13:15:09.320155,(22-15j),(293+2103j),(1013+1975j),(1648+1581j),(2083+956j),(2242+206j),(2098-521j),(1717-1118j),(1122-1492j),(497-1587j),(-62-1412j),(-438-1058j),(-582-624j),(-500-241j),(-249+1j),(67+45j),(321-114j),(437-414j),(371-751j),(114-1036j),(-281-1186j),(-726-1156j),(-1135-898j),(-1410-511j),(-1508-44j),(-1430+426j),(-1194+826j),(-785+1113j),(-289+1214j),(6-10j),(3-9j),(-7-3j),(18469+0j),(-12544-32640j),(1152+0j),(1-2j),(-824+550j),(564-804j),(253-894j),(-9-811j),(-164-648j),(-200-496j),(-165-403j),(-127-383j),(-126-427j),(-181-482j),(-300-515j),(-451-493j),(-599-388j),(-699-210j),(-718-6j),(-639+190j),(-488+330j),(-300+367j),(-125+300j),(-30+143j),(-52-50j),(-204-199j),(-461-268j),(-767-182j),(-1044+84j),(-1192+509j),(-1140+1021j),(-874+1531j)
2025-05-20 13:15:09.702228,(-15+35j),(-1568-2463j),(-1984-2326j),(-2351-2064j),(-2636-1705j),(-2809-1279j),(-2852-816j),(-2800-357j),(-2568+68j),(-2266+424j),(-1850+682j),(-1383+807j),(-900+814j),(-449+684j),(-66+438j),(239+109j),(415-278j),(480-681j),(427-1059j),(260-1391j),(29-1654j),(-257-1837j),(-576-1902j),(-869-1882j),(-1124-1754j),(-1340-1577j),(-1482-1341j),(-1489-1010j),(-1389-682j),(13+6j),(12-4j),(10-6j),(18469+0j),(-12544-32640j),(1152+0j),(-9-7j),(863-734j),(-807+917j),(-677+1034j),(-461+991j),(-280+856j),(-172+670j),(-124+475j),(-148+273j),(-218+116j),(-325-2j),(-453-74j),(-582-83j),(-674-46j),(-730+17j),(-737+84j),(-677+154j),(-573+207j),(-437+206j),(-272+161j),(-86+40j),(80-155j),(208-383j),(282-715j),(279-1077j),(180-1456j),(-22-1804j),(-316-2107j),(-686-2328j)
2025-05-20 13:15:10.090861,(66-11j),(-533+2837j),(-436+2993j),(-330+3077j),(-206+3076j),(-84+3033j),(27+2884j),(162+2693j),(256+2461j),(348+2161j),(421+1801j),(462+1408j),(459+978j),(414+564j),(326+150j),(222-251j),(87-607j),(-73-930j),(-227-1210j),(-384-1424j),(-536-1604j),(-695-1771j),(-793-1804j),(-870-1814j),(-913-1787j),(-929-1723j),(-901-1635j),(-817-1462j),(-675-1260j),(4+2j),(12+8j),(9+8j),(18469+0j),(-12544-32640j),(1152+0j),(-2-10j),(1196-1j),(-1234-8j),(-1181-4j),(-996+12j),(-745-8j),(-495-79j),(-245-187j),(-22-323j),(167-465j),(326-607j),(441-744j),(514-864j),(538-958j),(535-1008j),(504-1006j),(435-954j),(352-854j),(261-714j),(150-524j),(23-292j),(-104-23j),(-222+287j),(-327+602j),(-432+946j),(-513+1311j),(-565+1677j),(-591+2008j),(-607+2344j)
