timestamp,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_54,subcarrier_55,subcarrier_56,subcarrier_57,subcarrier_58,subcarrier_59,subcarrier_60,subcarrier_61,subcarrier_62,subcarrier_63
2025-05-21 02:12:10.216418,(-25-7j),(1600-393j),(1498-510j),(1369-611j),(1247-716j),(1091-781j),(930-837j),(762-864j),(599-871j),(425-825j),(283-746j),(162-632j),(89-509j),(59-382j),(65-274j),(101-184j),(160-124j),(227-95j),(291-99j),(334-135j),(356-193j),(340-263j),(289-307j),(219-334j),(144-323j),(74-297j),(23-252j),(-18-205j),(-48-161j),(-4-12j),(7+3j),(-2-2j),(18469+0j),(-13056-32640j),(1152+0j),(-4-5j),(131-49j),(-141+64j),(-157+77j),(-171+90j),(-203+101j),(-238+115j),(-303+146j),(-365+194j),(-438+281j),(-496+398j),(-528+547j),(-542+734j),(-502+927j),(-415+1119j),(-279+1298j),(-95+1460j),(139+1591j),(419+1691j),(720+1701j),(1040+1667j),(1306+1511j),(1518+1288j),(1731+1076j),(1860+823j),(1920+557j),(1922+321j),(1866+91j),(1782-89j)
2025-05-21 02:12:11.202060,(14+9j),(-1852+220j),(-1791+96j),(-1718+11j),(-1621-52j),(-1515-92j),(-1385-115j),(-1267-88j),(-1127-94j),(-984-53j),(-836+0j),(-689+60j),(-545+123j),(-413+184j),(-286+242j),(-167+295j),(-64+338j),(27+367j),(100+379j),(152+377j),(184+363j),(206+348j),(196+299j),(176+251j),(145+195j),(109+136j),(79+73j),(57+2j),(46-79j),(11+3j),(13+3j),(13+9j),(18469+0j),(-13568-32640j),(1152+0j),(14+9j),(-785-231j),(819+273j),(825+319j),(803+371j),(761+432j),(698+504j),(616+585j),(508+670j),(386+754j),(249+840j),(95+930j),(-74+1020j),(-248+1109j),(-426+1186j),(-609+1254j),(-791+1304j),(-966+1356j),(-1134+1384j),(-1290+1400j),(-1424+1387j),(-1530+1348j),(-1585+1246j),(-1707+1186j),(-1784+1073j),(-1840+945j),(-1872+805j),(-1883+652j),(-1892+496j)
2025-05-21 02:12:11.552013,(26-22j),(7+1988j),(-120+1947j),(-236+1942j),(-298+1879j),(-343+1824j),(-355+1710j),(-339+1590j),(-326+1474j),(-285+1321j),(-229+1163j),(-172+998j),(-111+830j),(-54+677j),(-13+517j),(33+372j),(56+239j),(80+127j),(88+30j),(86-41j),(73-98j),(49-112j),(22-145j),(-13-142j),(-46-132j),(-73-118j),(-89-99j),(-89-83j),(-77-57j),(1-1j),(10-4j),(-2-4j),(18469+0j),(-13312-32640j),(1152+0j),(4+1j),(-437+252j),(522-264j),(603-253j),(680-226j),(758-178j),(853-123j),(942-46j),(1031-2j),(1147+125j),(1244+205j),(1337+303j),(1431+405j),(1523+514j),(1578+628j),(1626+744j),(1651+862j),(1665+981j),(1652+1099j),(1642+1225j),(1579+1333j),(1506+1433j),(1395+1518j),(1242+1584j),(1082+1662j),(911+1735j),(730+1817j),(532+1858j),(351+1937j)
2025-05-21 02:12:11.889382,(34+19j),(-2049+1200j),(-1696+1603j),(-1250+1892j),(-754+2067j),(-215+2071j),(269+1945j),(667+1667j),(996+1349j),(1165+954j),(1198+557j),(1084+208j),(893-39j),(663-171j),(447-187j),(296-123j),(230-15j),(249+90j),(331+148j),(441+140j),(543+51j),(621-103j),(579-266j),(491-416j),(355-516j),(189-553j),(32-532j),(-114-445j),(-217-316j),(8-7j),-4j,(-6-4j),(18469+0j),(-13312-32640j),(1152+0j),(-4-5j),(160-588j),(6+631j),(168+607j),(298+509j),(363+384j),(362+271j),(321+218j),(264+225j),(283+285j),(353+352j),(488+413j),(699+408j),(923+315j),(1146+119j),(1308-179j),(1382-540j),(1349-951j),(1184-1389j),(868-1766j),(424-2063j),(-105-2175j),(-645-2149j),(-1173-1999j),(-1630-1707j),(-2015-1314j),(-2276-835j),(-2396-318j),(-2404+218j)
2025-05-21 02:12:12.231972,(14-15j),(-214+1526j),(-253+1494j),(-287+1483j),(-308+1478j),(-304+1482j),(-281+1489j),(-237+1499j),(-153+1481j),(-56+1438j),(48+1363j),(153+1265j),(247+1129j),(320+973j),(361+802j),(374+625j),(361+459j),(324+309j),(269+178j),(206+72j),(144-8j),(87-70j),(44-123j),(5-166j),(-33-202j),(-69-232j),(-97-255j),(-113-272j),(-116-287j),(-3-5j),(-3+10j),(-3+5j),(18469+0j),(-13824-32640j),(1152+0j),(5-2j),(73-413j),(-83+405j),(-91+383j),(-96+342j),(-123+295j),(-182+259j),(-265+253j),(-358+264j),(-463+314j),(-559+396j),(-651+501j),(-734+633j),(-796+778j),(-827+933j),(-839+1089j),(-833+1242j),(-792+1394j),(-740+1548j),(-655+1676j),(-557+1787j),(-442+1837j),(-339+1890j),(-248+1868j),(-171+1838j),(-122+1799j),(-97+1741j),(-94+1671j),(-113+1603j)
2025-05-21 02:12:12.576399,(-21+6j),(139-1093j),(174-863j),(189-655j),(192-467j),(191-308j),(180-169j),(164-58j),(121+11j),(79+61j),(21+89j),(-48+94j),(-122+85j),(-200+71j),(-286+48j),(-363+22j),(-428+3j),(-480-14j),(-515-31j),(-527-44j),(-517-52j),(-496-39j),(-436-73j),(-369-85j),(-297-98j),(-225-107j),(-165-106j),(-130-90j),(-119-67j),(3-1j),(-14-2j),(-16-6j),(18469+0j),(-13568-32640j),(1152+0j),(-19-17j),(454-475j),(-563+443j),(-660+379j),(-731+283j),(-779+158j),(-816+6j),(-837-169j),(-877-352j),(-858-561j),(-858-768j),(-840-983j),(-817-1189j),(-775-1394j),(-722-1588j),(-654-1777j),(-586-1955j),(-512-2126j),(-439-2256j),(-379-2356j),(-315-2416j),(-261-2421j),(-212-2350j),(-166-2327j),(-124-2240j),(-83-2098j),(-47-1934j),(1-1742j),(53-1543j)
2025-05-21 02:12:12.935535,(17-27j),(111+1208j),(107+1020j),(92+858j),(64+715j),(35+600j),(10+507j),(1+428j),(13+362j),(36+296j),(65+221j),(103+136j),(135+42j),(160-63j),(162-178j),(141-290j),(92-384j),(26-452j),(-48-496j),(-122-506j),(-184-488j),(-242-446j),(-252-377j),(-246-304j),(-216-234j),(-175-174j),(-141-124j),(-125-76j),(-123-22j),(-6-12j),(-8+10j),(-4+9j),(18469+0j),(-13568-32640j),(1152+0j),(-13-5j),(280-634j),(-277+676j),(-280+689j),(-290+681j),(-331+659j),(-393+635j),(-483+605j),(-589+605j),(-716+596j),(-850+621j),(-999+673j),(-1142+759j),(-1281+873j),(-1386+1002j),(-1470+1138j),(-1529+1295j),(-1569+1469j),(-1569+1660j),(-1513+1850j),(-1401+2008j),(-1237+2124j),(-1037+2197j),(-845+2225j),(-639+2199j),(-427+2136j),(-240+1998j),(-82+1817j),(20+1616j)
2025-05-21 02:12:13.287574,(-7-23j),(1069+723j),(933+626j),(799+545j),(669+471j),(561+414j),(472+366j),(388+319j),(343+260j),(289+193j),(232+114j),(168+21j),(99-67j),(14-147j),(-96-216j),(-205-265j),(-322-288j),(-426-288j),(-518-268j),(-586-223j),(-629-171j),(-625-108j),(-622-65j),(-582-33j),(-534-9j),(-479-1j),(-438+8j),(-402+22j),(-384+40j),(-7+5j),(8+16j),(-1+8j),(18469+0j),(-13568-32640j),(1152+0j),(-1-2j),(-387-392j),(391+396j),(380+408j),(346+423j),(290+469j),(223+541j),(141+644j),(70+773j),(21+914j),(-10+1071j),(-13+1233j),(2+1414j),(47+1580j),(113+1738j),(200+1879j),(311+1999j),(442+2104j),(601+2183j),(764+2223j),(933+2232j),(1100+2167j),(1251+2042j),(1354+1918j),(1443+1758j),(1479+1578j),(1474+1391j),(1408+1193j),(1325+1023j)
2025-05-21 02:12:13.640537,(23+7j),(-1158+1039j),(-851+1169j),(-555+1240j),(-265+1222j),(-1+1156j),(236+1030j),(432+852j),(571+637j),(633+395j),(596+151j),(466-53j),(269-173j),(52-186j),(-140-91j),(-257+88j),(-261+306j),(-152+502j),(44+631j),(279+660j),(505+582j),(676+428j),(777+214j),(798-5j),(748-207j),(642-371j),(508-488j),(353-557j),(197-569j),(-3+5j),(-9-2j),(-2+5j),(18469+0j),(-13568-32640j),(128+0j),(-5-4j),(299-155j),(-322+223j),(-323+320j),(-285+433j),(-205+542j),(-98+643j),(34+727j),(194+792j),(381+829j),(606+827j),(862+758j),(1126+603j),(1372+360j),(1541+32j),(1630-362j),(1611-795j),(1449-1241j),(1151-1659j),(720-1991j),(182-2180j),(-401-2175j),(-945-1987j),(-1395-1663j),(-1734-1232j),(-1923-743j),(-1959-252j),(-1859+193j),(-1677+546j)
2025-05-21 02:12:13.998605,(27-22j),(-854+1696j),(-868+1518j),(-879+1367j),(-881+1222j),(-860+1083j),(-838+959j),(-776+841j),(-742+762j),(-663+680j),(-555+603j),(-430+536j),(-292+470j),(-150+403j),(-2+326j),(149+245j),(290+166j),(421+86j),(529+5j),(617-74j),(685-142j),(718-181j),(766-233j),(778-252j),(775-259j),(762-260j),(747-257j),(724-257j),(693-259j),-8j,(4-9j),(8-8j),(18469+0j),(-13312-32640j),(1152+0j),(1-5j),(-465-543j),(501+553j),(532+566j),(555+579j),(570+599j),(560+630j),(528+683j),(485+752j),(408+824j),(331+919j),(248+1032j),(153+1158j),(55+1289j),(-47+1425j),(-147+1559j),(-247+1697j),(-338+1829j),(-422+1965j),(-491+2093j),(-550+2205j),(-590+2271j),(-605+2293j),(-646+2329j),(-680+2324j),(-704+2278j),(-727+2207j),(-760+2099j),(-783+1988j)
